participant_id,scene,guess,Accuracy
p18: 62aa591a476ebabe28612a92,scene5,"""2 green triangles per panel.""",1
p19: 62d6d77df59450e545fb22f6,scene1,"""Number of cones tilted 
\n some having more cones then others
\n colour combination 
\n Red cones not in all panels""",1
p19: 62d6d77df59450e545fb22f6,scene2,"""More tilted cones then others \nsomething about the colour combinations
\n More of the same colours in come compared to others 
\n More bigger cones in come compared to others""",0
p19: 62d6d77df59450e545fb22f6,scene3,"""Something to do with colour combinations
\n green cones being not on top of each other 
\n cones not being more tilted 
\n more mix of larger cones in each panel""",0
p19: 62d6d77df59450e545fb22f6,scene4,"""something to do with cones on top of cones 
\n colour combinations
\n cones being more balanced between all colours big or small""",1
p19: 62d6d77df59450e545fb22f6,scene5,"""Something to do with colour combination
\n more larger cones in some then the others\nand more small cones on some then others
\n the amount of cones compared to some of the panels 
\n more being tilted then others""",0
p20: 62d43cee3d60ac98c1dcacc8,scene1,"""Any panel which has a red funnel in it will also have a yellow star in it""",1
p20: 62d43cee3d60ac98c1dcacc8,scene2,"""A panel will have a yellow star if a panel has at least one small green funnel and one small blue funnel in it""",1
p20: 62d43cee3d60ac98c1dcacc8,scene3,"""I think the hidden rule is that a panel will have a yellow star in it if there is at least 2 blue funnels in it which are facing in either the left or right direction""",1
p20: 62d43cee3d60ac98c1dcacc8,scene4,"""I think the hidden rule is that a panel will have a yellow star in it if there are at least two of the smallest sized funnels in it""",0
p20: 62d43cee3d60ac98c1dcacc8,scene5,"""I think the hidden rule is that there must be two downward facing funnels in a panel for a panel to contain a yellow star in it""",0
p21: 62e154b0682e270b4acdf5ee,scene1,"""The hidden rule is that there has to be three colours schemes associated.""",1
p21: 62e154b0682e270b4acdf5ee,scene2,"I believe the hidden rule associated with this task is that ""there has to contain two or more green cones and they have to be upright (not mis-aligned).'",0
p21: 62e154b0682e270b4acdf5ee,scene3,"I believe the hidden rule in this scenario is ""two blue cones have to be present and they have to be mis-aligned"" (not upright).'",1
p21: 62e154b0682e270b4acdf5ee,scene4,"I believe the hidden rule is ""One cone has to be on top of another, and it has have a different colour scheme""'",1
p21: 62e154b0682e270b4acdf5ee,scene5,"The hidden rule that ""No more than 2 green cones can be present in an image""'",1
p22: 566c9284d408ea000519c6d7,scene1,"""Whether or not there are red cones
\n The big blue cone is not in the center
\n A fewer number of green cones""",1
p22: 566c9284d408ea000519c6d7,scene2,"""The balance of shapes inside each area is more on the left side, not the middle or right""",0
p22: 566c9284d408ea000519c6d7,scene3,"""There are two blue cones on their sides on the floor.""",1
p22: 566c9284d408ea000519c6d7,scene4,"""There is a big red and green cone in them.""",0
p22: 566c9284d408ea000519c6d7,scene5,"""They all have two green cones
\n They all have a red medium cone facing upwards""",1
p23: 664cf2037353bb98801436b5,scene1,"""Must have all colours.""",1
p23: 664cf2037353bb98801436b5,scene2,"""Green positioned right,
\n One of each size triangle.""",0
p23: 664cf2037353bb98801436b5,scene3,"""2 blue triangle on their sides.""",1
p23: 664cf2037353bb98801436b5,scene4,"""Opposite colour triangle of the same size on top of each other.""",1
p23: 664cf2037353bb98801436b5,scene5,"""Furthest left triangle standing up is red.""",0
p24: 6658cf093c3b7a255aeae9eb,scene1,"""the rule is panels with red triangles have a yellow star""",1
p24: 6658cf093c3b7a255aeae9eb,scene2,"""i think maybe that no triangles can overlap with eachother/have triangles one inside of another""",0
p24: 6658cf093c3b7a255aeae9eb,scene3,"""maybe that each panel must have 2 triangles titled, each having a point/top facing right and one facing left""",0
p24: 6658cf093c3b7a255aeae9eb,scene4,"""the rule is it must have 2 different coloured triangles stacked on top of eachother like in a there is a red on top of a green and they must be different colours""",1
p24: 6658cf093c3b7a255aeae9eb,scene5,"""the rule is the panel must have 2 green triangles""",1
p25: 6712dc9aa03ad1da92e70829,scene1,"""3 green cone in the box regardless if the cones are tilted or not""",0
p25: 6712dc9aa03ad1da92e70829,scene2,"a b, e panel has yellow star which has 2 upright green cones""",0
p25: 6712dc9aa03ad1da92e70829,scene3,"""all the yellow star has a pattern of tilted blue cones for a,c,f""",1
p25: 6712dc9aa03ad1da92e70829,scene4,"""so , the pattern is A has 3 greens, c has 3 blues , f has 3 reds regardless if they are tilted or not""",0
p25: 6712dc9aa03ad1da92e70829,scene5,"""2 tilted red cones in all 3. yellow stars boxes > A, B, E""",0
p26: 6718da927f1110131780367d,scene1,"""The hidden rule is that it must contain a red cone/triangle.""",1
p26: 6718da927f1110131780367d,scene2,"""The hidden rule is a larger green triangle needs to be standing upright without any tilting.""",0
p26: 6718da927f1110131780367d,scene3,"""The hidden rule is having two blue triangles/cones on their side, rather than upright or upside down/angled.""",1
p26: 6718da927f1110131780367d,scene4,"""The hidden rule is there needs to be two triangles/cones that are on their side, one laying on top of the other, but they cannot be both blue.""",0
p26: 6718da927f1110131780367d,scene5,"""The hidden rule is the panel must contain two green triangles/cones.""",1
p27: 6727ea3905ae5d0d2cb5180c,scene1,"""There needs to be red triangles
\n There needs to be at least 5 triangles""",1
p27: 6727ea3905ae5d0d2cb5180c,scene2,"""They must have small purple triangles""",1
p27: 6727ea3905ae5d0d2cb5180c,scene3,"""At least one purple triangle on its side""",1
p27: 6727ea3905ae5d0d2cb5180c,scene4,"""They must have all 3 colours""",0
p27: 6727ea3905ae5d0d2cb5180c,scene5,"""They must all have single red triangles that stand upright""",0
p28: 68256ac2cdeacf4bb3e76b17,scene1,"""Panels with red cones present have the star""",1
p28: 68256ac2cdeacf4bb3e76b17,scene2,"""The presence of small blue cone  and tilting have no effect""",1
p28: 68256ac2cdeacf4bb3e76b17,scene3,"""The two tilted blue cones present there is a star""",1
p28: 68256ac2cdeacf4bb3e76b17,scene4,"""The rule defines two green cones the large and medium sized sized green cone to be present""",0
p28: 68256ac2cdeacf4bb3e76b17,scene5,"""The rule defines two green cone to be present for a star""",1
p29: 663140c398e19ff9b77d4663,scene1,"""The highlighted stars all have red. If not highlighted then its there could be other ones but not red.""",1
p29: 663140c398e19ff9b77d4663,scene2,"""I think the pattern seems really random here and I dont see a pattern of any sort.""",0
p29: 663140c398e19ff9b77d4663,scene3,"""My only guess is that the highlighted stars have blue shapes that are all at an angle not facing downwards""",1
p29: 663140c398e19ff9b77d4663,scene4,"""All highlighted stars have 7 shapes exactly""",0
p29: 663140c398e19ff9b77d4663,scene5,"""A/B/E have exactly 2 green shapes
\n C/D/F have exactly 2 blue shapes""",1
p30: 666208dc57b332c5dbcaac25,scene1,"""My main guess is that if the panel includes a red triangle then the star will light up""",1
p30: 666208dc57b332c5dbcaac25,scene2,"""my only guess is that when triangles overlap then the star will not light up""",0
p30: 666208dc57b332c5dbcaac25,scene3,"""My guess for this puzzle is that colours cannot repeat next to each other and have to have a different colour between""",0
p30: 666208dc57b332c5dbcaac25,scene4,"""my first guess is that triangles laying horizontal that lay on top of each other lights up a star, and my second guess is that if triangles of different colours stand overlap then that can also light up a star""",1
p30: 666208dc57b332c5dbcaac25,scene5,"""My main guess is that if a panel includes 2 green triangles then the star is lit""",1
p31: 6699392f3b5d44ffc688ea2e,scene1,"""Must have all colours.""",1
p31: 6699392f3b5d44ffc688ea2e,scene2,"""Green positioned right,
\n One of each size triangle.""",0
p31: 6699392f3b5d44ffc688ea2e,scene3,"""2 blue triangle on their sides.""",1
p31: 6699392f3b5d44ffc688ea2e,scene4,"""Opposite colour triangle of the same size on top of each other.""",1
p31: 6699392f3b5d44ffc688ea2e,scene5,"""Furthest left triangle standing up is red.""",0
p32: 6778196b35c3f4ee20388a60,scene1,"""All 3 colours in each panel.
\n 3 green triangles per panel.""",1
p32: 6778196b35c3f4ee20388a60,scene2,"""Must have at least 2 green standing triangles.""",0
p32: 6778196b35c3f4ee20388a60,scene3,"""2 blue triangles on their sides.""",1
p32: 6778196b35c3f4ee20388a60,scene4,"""2 Triangles must be on top of each other, but they must differ in colour.""",1
p32: 6778196b35c3f4ee20388a60,scene5,"""The panel must have exactly 2 green triangles.""",1
p33: 65c118f1cd19001157ace3a0,scene1,"""one cone upside down""",0
p33: 65c118f1cd19001157ace3a0,scene2,"""at least 1 blue cone between 2 green cones""",1
p33: 65c118f1cd19001157ace3a0,scene3,"""2 tilted blue cones in each panel""",1
p33: 65c118f1cd19001157ace3a0,scene4,"""same number of cones in active panels""",0
p33: 65c118f1cd19001157ace3a0,scene5,"""first cone is pink""",0
p34: 682e2f3f38b4d818cd136b66,scene1,"""The star lights when there is a red con in the panel.
\n I did not come up with any other guesses""",1
p34: 682e2f3f38b4d818cd136b66,scene2,"""Where the green cones are lying flat on the brown platform and are facing up that is where the star is lit""",0
p34: 682e2f3f38b4d818cd136b66,scene3,"""Where there are two blue cones facing up at an angle""",1
p34: 682e2f3f38b4d818cd136b66,scene4,"""Where there are five cones facing down the star lights""",0
p34: 682e2f3f38b4d818cd136b66,scene5,"""The star is lit in panels where there are two green cones""",1
p35: 682d373be42ded4af524421f,scene1,"""The hidden rule is that the sections have red cones in them while the rest do not have them.""",1
p35: 682d373be42ded4af524421f,scene2,"""The hidden rule might be the cones are closer to each other.""",0
p35: 682d373be42ded4af524421f,scene3,"""The hidden rule is that the blue cones are lying down instead of standing.""",1
p35: 682d373be42ded4af524421f,scene4,"""The panels has at least one cone on top of each other
\n the panels has two cones tilted on the ground.""",1
p35: 682d373be42ded4af524421f,scene5,"""the green cones are at most two in each panel.""",1
p36: 670e5e609d33ddb280fab011,scene1,"""Have all three color of triangles""",1
p36: 670e5e609d33ddb280fab011,scene2,"""Must have small blue triangle""",1
p36: 670e5e609d33ddb280fab011,scene3,"""two blue on their side""",1
p36: 670e5e609d33ddb280fab011,scene4,"""rule of 7 triangles""",0
p36: 670e5e609d33ddb280fab011,scene5,"""rule of 2 green triangles""",1
p37: 66826e9e2c8e4bfd530e5584,scene1,"""If the yellow star is filled in there is not a red triangle.""",1
p37: 66826e9e2c8e4bfd530e5584,scene2,"""There is 5 triangles in every single one.""",0
p37: 66826e9e2c8e4bfd530e5584,scene3,"""To rotate the triangles.""",0
p37: 66826e9e2c8e4bfd530e5584,scene4,"""To turn two of the triangles on their side if the star is yellow.""",0
p37: 66826e9e2c8e4bfd530e5584,scene5,"""The number of  triangles has to do with the pattern.""",0
p38: 65389f0b0f181197c4218f6d,scene1,"""When we see red angle formations, the stars light up as showcased by A, E and F and conversely the lack of red in B C D makes the stars remain unlit.""",1
p38: 65389f0b0f181197c4218f6d,scene2,"""so any color can be upward facing but only blue can be singularly not mixed with another color lateral for the star to light…is strengthened by the F example where even though we have lateral blue we also have lateral red which keeps the star unlit""",0
p38: 65389f0b0f181197c4218f6d,scene3,"""so the star lights up when there is a pair of lateral blues present
\n BD E do not have this pair of lateral blues so are unlit""",1
p38: 65389f0b0f181197c4218f6d,scene4,"""Noticed the 3 of a kind colors for the light to be off 2 of them either superposed or touching like in D 
\n Really not enough time on this one and do not want to ruin the experiment procedure""",0
p38: 65389f0b0f181197c4218f6d,scene5,"""for whenever the red angles are more numerous than  other colored angles the star lights up and this is reinforced by C D F where the reds are not the largest component of the angles therefore the stars remain unlit""",1
p39: 67463480327b48a3f1380669,scene1,"""red cones provide a lit star""",1
p39: 67463480327b48a3f1380669,scene2,"""a,b,c,d,f, have all three color cones
\n abcdef all have 5 cones""",0
p39: 67463480327b48a3f1380669,scene3,"""all 6 letters abcdef have the same 3 color cones""",0
p39: 67463480327b48a3f1380669,scene4,"""a,c,f have 7 cones and lit stars""",0
p39: 67463480327b48a3f1380669,scene5,"""c,d,f go in order from 3 hreen cone 4 green cones and 5 green cones in order""",0
p40: 6715013670bed7e4e955f109,scene1,"""There must be a red triangle for the star to light up""",1
p40: 6715013670bed7e4e955f109,scene2,"""one big green triangle with both points o the floor is required for the star to light up""",0
p40: 6715013670bed7e4e955f109,scene3,"""they each have to have 2 red 2 blue and 1 or more green triangles for the star to be light up""",0
p40: 6715013670bed7e4e955f109,scene4,"""they have to have 2 differently coloured triangles one on top of the other for the star to be light""",1
p40: 6715013670bed7e4e955f109,scene5,"""there has to be only 2 green triangles in the box for the star to be lit""",1
p41: 66d9869a4e9051cdf5d16fa3,scene1,"""The panels with the red cones have the stars lit up.""",1
p41: 66d9869a4e9051cdf5d16fa3,scene2,"""it must contain a little purple cone""",1
p41: 66d9869a4e9051cdf5d16fa3,scene3,"""The have to have 2 purple cones laying on their side.""",1
p41: 66d9869a4e9051cdf5d16fa3,scene4,"""I could not figure out any possibility for a rule in this one""",0
p41: 66d9869a4e9051cdf5d16fa3,scene5,"""Must have exactly 2 green cones""",1
p42: 5fff2877a99bcb65a14a223c,scene1,"""for every lighted up  puzzle with yellow colours their must be a red cone in it... thus puzzle E, F, and A  all have a red cone in them""",1
p42: 5fff2877a99bcb65a14a223c,scene2,"""i the rule for this puzzle is that for every yellow star puzzzle their must a standing green cone i.e the green cone must stand perfectly""",0
p42: 5fff2877a99bcb65a14a223c,scene3,"""all the yellow stars cone all have a cone laying flat on the floor and also they all have a blue cone facing the right side while laying flat""",1
p42: 5fff2877a99bcb65a14a223c,scene4,"""i think the rule for this puzzle is that all the labels without stars all have atleast a blue cone standing alright""",0
p42: 5fff2877a99bcb65a14a223c,scene5,"""so i think the rule for this puzzle is that they have atleast a red cone laying flat on the floor.""",0
