"participant_id","scene","position","code"
"p3","scene2",1,"1. BGN"
"p3","scene2",2,"2. PROC"
"p3","scene2",3,"3. PLAN"
"p3","scene2",4,"4. PROC"
"p3","scene2",5,"5. META"
"p3","scene2",6,"6. EVAL"
"p3","scene2",7,"7. HYPO"
"p3","scene2",8,"8. DEC"
"p3","scene2",9,"9. PROC"
"p3","scene2",10,"10. RUL"
"p3","scene2",11,"11. FIN"
"p3","scene3",1,"1. BGN"
"p3","scene3",2,"2. PLAN"
"p3","scene3",3,"3. PROC"
"p3","scene3",4,"4. PROC"
"p3","scene3",5,"5. META"
"p3","scene3",6,"6. HYPO"
"p3","scene3",7,"7. DEC"
"p3","scene3",8,"8. DEC"
"p3","scene3",9,"9. HYPO"
"p3","scene3",10,"10. HYPO"
"p3","scene3",11,"11. META"
"p3","scene3",12,"12. RUL"
"p3","scene3",13,"13. FIN"
"p3","scene4",1,"1. BGN"
"p3","scene4",2,"2. PROC"
"p3","scene4",3,"3. PROC"
"p3","scene4",4,"4. HYPO"
"p3","scene4",5,"5. DEC"
"p3","scene4",6,"6. HYPO"
"p3","scene4",7,"7. RUL"
"p3","scene4",8,"8. META"
"p3","scene4",9,"9. FIN"
"p3","scene5",1,"1. BGN"
"p3","scene5",2,"2. PROC"
"p3","scene5",3,"3. EVAL"
"p3","scene5",4,"4. EVAL"
"p3","scene5",5,"5. HYPO"
"p3","scene5",6,"6. HYPO"
"p3","scene5",7,"7. DEC"
"p3","scene5",8,"8. PROC"
"p3","scene5",9,"9. PROC"
"p3","scene5",10,"10. EVAL"
"p3","scene5",11,"11. PROC"
"p3","scene5",12,"12. HYPO"
"p3","scene5",13,"13. DEC"
"p3","scene5",14,"14. DEC"
"p3","scene5",15,"15. FIN"
"p4","scene1",1,"01:BGN"
"p4","scene1",2,"02:ORI"
"p4","scene1",3,"03:PROC"
"p4","scene1",4,"04:PROC"
"p4","scene1",5,"05:PROC"
"p4","scene1",6,"06:PROC"
"p4","scene1",7,"07:EVAL"
"p4","scene1",8,"08:PROC"
"p4","scene1",9,"09:PROC"
"p4","scene1",10,"10:PROC"
"p4","scene1",11,"11:HYPO"
"p4","scene1",12,"12:PLAN"
"p4","scene1",13,"13:EVAL"
"p4","scene1",14,"14:HYPO"
"p4","scene1",15,"15:PROC"
"p4","scene1",16,"16:PROC"
"p4","scene1",17,"17:DEC"
"p4","scene1",18,"18:EVAL"
"p4","scene1",19,"19:DEC"
"p4","scene1",20,"20:META"
"p4","scene1",21,"21:RUL"
"p4","scene1",22,"22:FIN"
"p4","scene2",1,"01:BGN"
"p4","scene2",2,"02:ORI"
"p4","scene2",3,"03:PROC"
"p4","scene2",4,"04:PLAN"
"p4","scene2",5,"05:PROC"
"p4","scene2",6,"06:PROC"
"p4","scene2",7,"07:PROC"
"p4","scene2",8,"08:EVAL"
"p4","scene2",9,"09:PROC"
"p4","scene2",10,"10:EVAL"
"p4","scene2",11,"11:EVAL"
"p4","scene2",12,"12:PLAN"
"p4","scene2",13,"13:PROC"
"p4","scene2",14,"14:PROC"
"p4","scene2",15,"15:EVAL"
"p4","scene2",16,"16:META"
"p4","scene2",17,"17:PLAN"
"p4","scene2",18,"18:PROC"
"p4","scene2",19,"19:META"
"p4","scene2",20,"20:EVAL"
"p4","scene2",21,"21:PLAN"
"p4","scene2",22,"22:META"
"p4","scene2",23,"23:EVAL"
"p4","scene2",24,"24:META"
"p4","scene2",25,"25:META"
"p4","scene2",26,"26:EVAL"
"p4","scene2",27,"27:HYPO"
"p4","scene2",28,"28:HYPO"
"p4","scene2",29,"29:DEC"
"p4","scene2",30,"30:FIN"
"p4","scene3",1,"01:BGN"
"p4","scene3",2,"02:PROC"
"p4","scene3",3,"03:PROC"
"p4","scene3",4,"04:PROC"
"p4","scene3",5,"05:EVAL"
"p4","scene3",6,"06:PROC"
"p4","scene3",7,"07:EVAL"
"p4","scene3",8,"08:PROC"
"p4","scene3",9,"09:EVAL"
"p4","scene3",10,"10:PROC"
"p4","scene3",11,"11:PROC"
"p4","scene3",12,"12:HYPO"
"p4","scene3",13,"13:HYPO"
"p4","scene3",14,"14:PROC"
"p4","scene3",15,"15:PROC"
"p4","scene3",16,"16:PROC"
"p4","scene3",17,"17:HYPO"
"p4","scene3",18,"18:PROC"
"p4","scene3",19,"19:PROC"
"p4","scene3",20,"20:DEC"
"p4","scene3",21,"21:PROC"
"p4","scene3",22,"22:EVAL"
"p4","scene3",23,"23:EVAL"
"p4","scene3",24,"24:META"
"p4","scene3",25,"25:META"
"p4","scene3",26,"26:HYPO"
"p4","scene3",27,"27:EVAL"
"p4","scene3",28,"28:HYPO"
"p4","scene3",29,"29:META"
"p4","scene3",30,"30:EVAL"
"p4","scene3",31,"31:FIN"
"p4","scene4",1,"01:BGN"
"p4","scene4",2,"02:PLAN"
"p4","scene4",3,"03:PLAN"
"p4","scene4",4,"04:PROC"
"p4","scene4",5,"05:PROC"
"p4","scene4",6,"06:PROC"
"p4","scene4",7,"07:META"
"p4","scene4",8,"08:PROC"
"p4","scene4",9,"09:META"
"p4","scene4",10,"10:PROC"
"p4","scene4",11,"11:HYPO"
"p4","scene4",12,"12:DEC"
"p4","scene4",13,"13:PLAN"
"p4","scene4",14,"14:PROC"
"p4","scene4",15,"15:PROC"
"p4","scene4",16,"16:PROC"
"p4","scene4",17,"17:EVAL"
"p4","scene4",18,"18:PROC"
"p4","scene4",19,"19:EVAL"
"p4","scene4",20,"20:META"
"p4","scene4",21,"21:PLAN"
"p4","scene4",22,"22:RUL"
"p4","scene4",23,"23:HYPO"
"p4","scene4",24,"24:FIN"
"p4","scene5",1,"01:BGN"
"p4","scene5",2,"02:META"
"p4","scene5",3,"03:PLAN"
"p4","scene5",4,"04:PROC"
"p4","scene5",5,"05:EVAL"
"p4","scene5",6,"06:PROC"
"p4","scene5",7,"07:PROC"
"p4","scene5",8,"08:PROC"
"p4","scene5",9,"09:EVAL"
"p4","scene5",10,"10:META"
"p4","scene5",11,"11:PROC"
"p4","scene5",12,"12:PROC"
"p4","scene5",13,"13:EVAL"
"p4","scene5",14,"14:EVAL"
"p4","scene5",15,"15:PLAN"
"p4","scene5",16,"16:PROC"
"p4","scene5",17,"17:EVAL"
"p4","scene5",18,"18:PLAN"
"p4","scene5",19,"19:PROC"
"p4","scene5",20,"20:PROC"
"p4","scene5",21,"21:EVAL"
"p4","scene5",22,"22:META"
"p4","scene5",23,"23:EVAL"
"p4","scene5",24,"24:META"
"p4","scene5",25,"25:META"
"p4","scene5",26,"26:EVAL"
"p4","scene5",27,"27:META"
"p4","scene5",28,"28:DEC"
"p4","scene5",29,"29:FIN"
"p5","scene1",1,"01:BGN"
"p5","scene1",2,"02:PROC"
"p5","scene1",3,"03:PLAN"
"p5","scene1",4,"04:HYPO"
"p5","scene1",5,"05:DEC"
"p5","scene1",6,"06:ORI"
"p5","scene1",7,"07:META"
"p5","scene1",8,"08:META"
"p5","scene1",9,"09:RUL"
"p5","scene1",10,"10:FIN"
"p5","scene2",1,"01:BGN"
"p5","scene2",2,"02:PROC"
"p5","scene2",3,"03:EVAL"
"p5","scene2",4,"04:HYPO"
"p5","scene2",5,"05:DEC"
"p5","scene2",6,"06:PROC"
"p5","scene2",7,"07:PROC"
"p5","scene2",8,"08:PROC"
"p5","scene2",9,"09:RUL"
"p5","scene2",10,"10:FIN"
"p5","scene3",1,"01:BGN"
"p5","scene3",2,"02:PROC"
"p5","scene3",3,"03:EVAL"
"p5","scene3",4,"04:HYPO"
"p5","scene3",5,"05:DEC"
"p5","scene3",6,"06:RUL"
"p5","scene3",7,"07:DEC"
"p5","scene3",8,"08:RUL"
"p5","scene3",9,"09:FIN"
"p5","scene4",1,"01:BGN"
"p5","scene4",2,"02:PROC"
"p5","scene4",3,"03:PLAN"
"p5","scene4",4,"04:PROC"
"p5","scene4",5,"05:PROC"
"p5","scene4",6,"06:PROC"
"p5","scene4",7,"07:PROC"
"p5","scene4",8,"08:PROC"
"p5","scene4",9,"09:META"
"p5","scene4",10,"10:HYPO"
"p5","scene4",11,"11:RUL"
"p5","scene4",12,"12:PROC"
"p5","scene4",13,"13:META"
"p5","scene4",14,"14:META"
"p5","scene4",15,"15:META"
"p5","scene4",16,"16:RUL"
"p5","scene4",17,"17:RUL"
"p5","scene4",18,"18:META"
"p5","scene4",19,"19:FIN"
"p5","scene5",1,"01:BGN"
"p5","scene5",2,"02:PROC"
"p5","scene5",3,"03:META"
"p5","scene5",4,"04:PROC"
"p5","scene5",5,"05:PROC"
"p5","scene5",6,"06:HYPO"
"p5","scene5",7,"07:PROC"
"p5","scene5",8,"08:META"
"p5","scene5",9,"09:EVAL"
"p5","scene5",10,"10:MEM"
"p5","scene5",11,"11:MEM"
"p5","scene5",12,"12:RUL"
"p5","scene5",13,"13:PLAN"
"p5","scene5",14,"14:PROC"
"p5","scene5",15,"15:HYPO"
"p5","scene5",16,"16:RUL"
"p5","scene5",17,"17:META"
"p5","scene5",18,"18:MEM"
"p5","scene5",19,"19:META"
"p5","scene5",20,"20:HYPO"
"p5","scene5",21,"21:DEC"
"p5","scene5",22,"22:RUL"
"p5","scene5",23,"23:FIN"
"p6","scene1",1,"01:BGN"
"p6","scene1",2,"02:PROC"
"p6","scene1",3,"03:HYPO"
"p6","scene1",4,"04:PROC"
"p6","scene1",5,"05:DEC"
"p6","scene1",6,"06:PLAN"
"p6","scene1",7,"07:EVAL"
"p6","scene1",8,"08:PROC"
"p6","scene1",9,"09:PROC"
"p6","scene1",10,"10:HYPO"
"p6","scene1",11,"11:RUL"
"p6","scene1",12,"12:FIN"
"p6","scene2",1,"01:BGN"
"p6","scene2",2,"02:PROC"
"p6","scene2",3,"03:PROC"
"p6","scene2",4,"04:EVAL"
"p6","scene2",5,"05:EVAL"
"p6","scene2",6,"06:EVAL"
"p6","scene2",7,"07:PROC"
"p6","scene2",8,"08:EVAL"
"p6","scene2",9,"09:EVAL"
"p6","scene2",10,"10:EVAL"
"p6","scene2",11,"11:META"
"p6","scene2",12,"12:EVAL"
"p6","scene2",13,"13:EVAL"
"p6","scene2",14,"14:META"
"p6","scene2",15,"15:EVAL"
"p6","scene2",16,"16:HYPO"
"p6","scene2",17,"17:DEC"
"p6","scene2",18,"18:META"
"p6","scene2",19,"19:EVAL"
"p6","scene2",20,"20:META"
"p6","scene2",21,"21:EVAL"
"p6","scene2",22,"22:FIN"
"p6","scene3",1,"01:BGN"
"p6","scene3",2,"02:PROC"
"p6","scene3",3,"03:EVAL"
"p6","scene3",4,"04:HYPO"
"p6","scene3",5,"05:PROC"
"p6","scene3",6,"06:DEC"
"p6","scene3",7,"07:PROC"
"p6","scene3",8,"08:EVAL"
"p6","scene3",9,"09:PROC"
"p6","scene3",10,"10:HYPO"
"p6","scene3",11,"11:EVAL"
"p6","scene3",12,"12:HYPO"
"p6","scene3",13,"13:DEC"
"p6","scene3",14,"14:HYPO"
"p6","scene3",15,"15:META"
"p6","scene3",16,"16:HYPO"
"p6","scene3",17,"17:RUL"
"p6","scene3",18,"18:FIN"
"p6","scene4",1,"01:BGN"
"p6","scene4",2,"02:PROC"
"p6","scene4",3,"03:HYPO"
"p6","scene4",4,"04:HYPO"
"p6","scene4",5,"05:PROC"
"p6","scene4",6,"06:HYPO"
"p6","scene4",7,"07:EVAL"
"p6","scene4",8,"08:PROC"
"p6","scene4",9,"09:DEC"
"p6","scene4",10,"10:META"
"p6","scene4",11,"11:HYPO"
"p6","scene4",12,"12:EVAL"
"p6","scene4",13,"13:RUL"
"p6","scene4",14,"14:FIN"
"p6","scene5",1,"01:BGN"
"p6","scene5",2,"02:ORI"
"p6","scene5",3,"03:HYPO"
"p6","scene5",4,"04:EVAL"
"p6","scene5",5,"05:EVAL"
"p6","scene5",6,"06:HYPO"
"p6","scene5",7,"07:HYPO"
"p6","scene5",8,"08:DEC"
"p6","scene5",9,"09:DEC"
"p6","scene5",10,"10:PROC"
"p6","scene5",11,"11:EVAL"
"p6","scene5",12,"12:EVAL"
"p6","scene5",13,"13:DEC"
"p6","scene5",14,"14:DEC"
"p6","scene5",15,"15:RUL"
"p6","scene5",16,"16:FIN"
"p7","scene1",1,"01:BGN"
"p7","scene1",2,"02:ORI"
"p7","scene1",3,"03:PLAN"
"p7","scene1",4,"04:PROC"
"p7","scene1",5,"05:EVAL"
"p7","scene1",6,"06:PLAN"
"p7","scene1",7,"07:META"
"p7","scene1",8,"08:PROC"
"p7","scene1",9,"09:HYPO"
"p7","scene1",10,"10:HYPO"
"p7","scene1",11,"11:DEC"
"p7","scene1",12,"12:PROC"
"p7","scene1",13,"13:EVAL"
"p7","scene1",14,"14:META"
"p7","scene1",15,"15:RUL"
"p7","scene1",16,"16:FIN"
"p7","scene2",1,"01:BGN"
"p7","scene2",2,"02:ORI"
"p7","scene2",3,"03:PLAN"
"p7","scene2",4,"04:PROC"
"p7","scene2",5,"05:HYPO"
"p7","scene2",6,"06:DEC"
"p7","scene2",7,"07:EVAL"
"p7","scene2",8,"08:PLAN"
"p7","scene2",9,"09:EVAL"
"p7","scene2",10,"10:META"
"p7","scene2",11,"11:EVAL"
"p7","scene2",12,"12:PLAN"
"p7","scene2",13,"13:HYPO"
"p7","scene2",14,"14:DEC"
"p7","scene2",15,"15:META"
"p7","scene2",16,"16:EVAL"
"p7","scene2",17,"17:META"
"p7","scene2",18,"18:FIN"
"p7","scene3",1,"01:BGN"
"p7","scene3",2,"02:PROC"
"p7","scene3",3,"03:PROC"
"p7","scene3",4,"04:EVAL"
"p7","scene3",5,"05:PLAN"
"p7","scene3",6,"06:EVAL"
"p7","scene3",7,"07:PLAN"
"p7","scene3",8,"08:EVAL"
"p7","scene3",9,"09:HYPO"
"p7","scene3",10,"10:META"
"p7","scene3",11,"11:HYPO"
"p7","scene3",12,"12:DEC"
"p7","scene3",13,"13:FIN"
"p7","scene4",1,"01:BGN"
"p7","scene4",2,"02:PLAN"
"p7","scene4",3,"03:PROC"
"p7","scene4",4,"04:EVAL"
"p7","scene4",5,"05:PLAN"
"p7","scene4",6,"06:PROC"
"p7","scene4",7,"07:PLAN"
"p7","scene4",8,"08:META"
"p7","scene4",9,"09:EVAL"
"p7","scene4",10,"10:EVAL"
"p7","scene4",11,"11:EVAL"
"p7","scene4",12,"12:META"
"p7","scene4",13,"13:PLAN"
"p7","scene4",14,"14:META"
"p7","scene4",15,"15:META"
"p7","scene4",16,"16:EVAL"
"p7","scene4",17,"17:FIN"
"p7","scene5",1,"01:BGN"
"p7","scene5",2,"02:PLAN"
"p7","scene5",3,"03:HYPO"
"p7","scene5",4,"04:HYPO"
"p7","scene5",5,"05:EVAL"
"p7","scene5",6,"06:DEC"
"p7","scene5",7,"07:PLAN"
"p7","scene5",8,"08:EVAL"
"p7","scene5",9,"09:EVAL"
"p7","scene5",10,"10:RUL"
"p7","scene5",11,"11:FIN"
"p8","scene1",1,"01:BGN"
"p8","scene1",2,"02:ORI"
"p8","scene1",3,"03:PROC"
"p8","scene1",4,"04:PROC"
"p8","scene1",5,"05:PROC"
"p8","scene1",6,"06:EVAL"
"p8","scene1",7,"07:PROC"
"p8","scene1",8,"08:PROC"
"p8","scene1",9,"09:EVAL"
"p8","scene1",10,"10:META"
"p8","scene1",11,"11:HYPO"
"p8","scene1",12,"12:DEC"
"p8","scene1",13,"13:HYPO"
"p8","scene1",14,"14:HYPO"
"p8","scene1",15,"15:RUL"
"p8","scene1",16,"16:FIN"
"p8","scene2",1,"01:BGN"
"p8","scene2",2,"02:PROC"
"p8","scene2",3,"03:PROC"
"p8","scene2",4,"04:PROC"
"p8","scene2",5,"05:PROC"
"p8","scene2",6,"06:META"
"p8","scene2",7,"07:EVAL"
"p8","scene2",8,"08:HYPO"
"p8","scene2",9,"09:DEC"
"p8","scene2",10,"10:META"
"p8","scene2",11,"11:PROC"
"p8","scene2",12,"12:META"
"p8","scene2",13,"13:EVAL"
"p8","scene2",14,"14:META"
"p8","scene2",15,"15:META"
"p8","scene2",16,"16:HYPO"
"p8","scene2",17,"17:DEC"
"p8","scene2",18,"18:DEC"
"p8","scene2",19,"19:RUL"
"p8","scene2",20,"20:FIN"
"p8","scene3",1,"01:BGN"
"p8","scene3",2,"02:ORI"
"p8","scene3",3,"03:PROC"
"p8","scene3",4,"04:PROC"
"p8","scene3",5,"05:PROC"
"p8","scene3",6,"06:META"
"p8","scene3",7,"07:PROC"
"p8","scene3",8,"08:EVAL"
"p8","scene3",9,"09:PROC"
"p8","scene3",10,"10:META"
"p8","scene3",11,"11:PLAN"
"p8","scene3",12,"12:PROC"
"p8","scene3",13,"13:PLAN"
"p8","scene3",14,"14:PROC"
"p8","scene3",15,"15:DEC"
"p8","scene3",16,"16:RUL"
"p8","scene3",17,"17:FIN"
"p8","scene4",1,"01:BGN"
"p8","scene4",2,"02:PROC"
"p8","scene4",3,"03:PROC"
"p8","scene4",4,"04:EVAL"
"p8","scene4",5,"05:HYPO"
"p8","scene4",6,"06:DEC"
"p8","scene4",7,"07:PROC"
"p8","scene4",8,"08:PROC"
"p8","scene4",9,"09:META"
"p8","scene4",10,"10:META"
"p8","scene4",11,"11:HYPO"
"p8","scene4",12,"12:DEC"
"p8","scene4",13,"13:META"
"p8","scene4",14,"14:PROC"
"p8","scene4",15,"15:HYPO"
"p8","scene4",16,"16:DEC"
"p8","scene4",17,"17:RUL"
"p8","scene4",18,"18:FIN"
"p8","scene5",1,"01:BGN"
"p8","scene5",2,"02:ORI"
"p8","scene5",3,"03:PROC"
"p8","scene5",4,"04:META"
"p8","scene5",5,"05:PROC"
"p8","scene5",6,"06:EVAL"
"p8","scene5",7,"07:META"
"p8","scene5",8,"08:PROC"
"p8","scene5",9,"09:PLAN"
"p8","scene5",10,"10:EVAL"
"p8","scene5",11,"11:META"
"p8","scene5",12,"12:PLAN"
"p8","scene5",13,"13:PROC"
"p8","scene5",14,"14:HYPO"
"p8","scene5",15,"15:META"
"p8","scene5",16,"16:PROC"
"p8","scene5",17,"17:DEC"
"p8","scene5",18,"18:RUL"
"p8","scene5",19,"19:FIN"
"p9","scene1",1,"01:BGN"
"p9","scene1",2,"02:HYPO"
"p9","scene1",3,"03:DEC"
"p9","scene1",4,"04:META"
"p9","scene1",5,"05:HYPO"
"p9","scene1",6,"06:DEC"
"p9","scene1",7,"07:HYPO"
"p9","scene1",8,"08:DEC"
"p9","scene1",9,"09:EVAL"
"p9","scene1",10,"10:RUL"
"p9","scene1",11,"11:FIN"
"p9","scene2",1,"01:BGN"
"p9","scene2",2,"02:ORI"
"p9","scene2",3,"03:PROC"
"p9","scene2",4,"04:PROC"
"p9","scene2",5,"05:PROC"
"p9","scene2",6,"06:META"
"p9","scene2",7,"07:HYPO"
"p9","scene2",8,"08:EVAL"
"p9","scene2",9,"09:DEC"
"p9","scene2",10,"10:PROC"
"p9","scene2",11,"11:PROC"
"p9","scene2",12,"12:DEC"
"p9","scene2",13,"13:PROC"
"p9","scene2",14,"14:RUL"
"p9","scene2",15,"15:FIN"
"p9","scene3",1,"01:BGN"
"p9","scene3",2,"02:PROC"
"p9","scene3",3,"03:PROC"
"p9","scene3",4,"04:HYPO"
"p9","scene3",5,"05:EVAL"
"p9","scene3",6,"06:DEC"
"p9","scene3",7,"07:RUL"
"p9","scene3",8,"08:DEC"
"p9","scene3",9,"09:FIN"
"p9","scene4",1,"01:BGN"
"p9","scene4",2,"02:PROC"
